stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699723426204,24381,Lilas,43.511176,1.555208,0,1970324839872922,2
3377699723426206,24391,A. Perdiguier,43.513209,1.556650,0,1970324839872925,1
3377699723426207,24390,A. Perdiguier,43.513130,1.556848,0,1970324839872925,1
3377699723434996,3600,Seel,43.596973,1.456635,0,1970324839881714,2
3377699723435001,3601,Seel,43.597456,1.456760,0,1970324839881714,1
3377699723478058,60002,Arènes,43.592778,1.417921,0,1970324837184714,1
3377699723479095,7380,Max Fischl,43.605864,1.359329,0,1970324839925814,1
3377699723479096,7381,Max Fischl,43.605726,1.359277,0,1970324839925814,1
3377699723485906,15101,Paquerettes,43.551262,1.472806,0,1970324839932625,1
3377699723492614,5705,St-Michel - Marcel Langer,43.586370,1.447170,0,1970324837185941,1
3377699723531282,2210,Ecole Croix-Rouge,43.605094,1.387153,0,1970324837184593,1
3377699723531846,27282,Buxtehude,43.649781,1.382043,0,1970324839928071,1
3377699723531847,27283,Buxtehude,43.648938,1.382494,0,1970324839928071,1
3377699723531850,27612,Place du Relais,43.637620,1.390493,0,1970324837186652,1
3377699723531851,27613,Place du Relais,43.637497,1.390442,0,1970324837186652,1
3377699723532070,27310,Tonneliers,43.646130,1.384596,0,1970324839978789,2
3377699723532071,27311,Tonneliers,43.645499,1.384887,0,1970324839978789,1
3377699723532073,27400,Pont du Béarnais,43.612263,1.424679,0,1970324839978792,1
3377699723532075,27410,ZAC Ponts Jumeaux,43.611879,1.421768,0,1970324839978794,1
3377699723532076,27411,ZAC Ponts Jumeaux,43.611958,1.422713,0,1970324839978794,1
3377699723533048,16940,Ctre Cial Beauzelle,43.670092,1.369110,0,1970324837184902,2
3377699723533049,29561,Périac,43.671605,1.322685,0,1970324837189484,1
3377699723533054,29610,Grillons,43.661461,1.379239,0,1970324839979773,1
3377699723533055,29611,Grillons,43.661174,1.379078,0,1970324839979773,1
3377699723533060,29890,Hirondelles,43.662828,1.376606,0,1970324839979779,1
3377699723533061,29891,Hirondelles,43.661770,1.377278,0,1970324839979779,1
3377699723533063,29910,Camélias,43.666027,1.381200,0,1970324839979782,2
3377699723533064,29911,Camélias,43.665829,1.381420,0,1970324839979782,2
3377699723533066,29920,Juncassa,43.668902,1.366249,0,1970324839979785,1
3377699723533067,29921,Juncassa,43.669196,1.366501,0,1970324839979785,2
3377699723533069,29930,Les Jardins du Panariol,43.678963,1.323200,0,1970324839979788,1
3377699723533070,29931,Les Jardins du Panariol,43.678644,1.322951,0,1970324839979788,2
3377699723533220,16416,Andromède-Lycée,43.654639,1.374978,0,1970324837343242,1
3377699723534565,3590,Jean Zay,43.641724,1.446476,0,1970324839934074,1
3377699723536437,27320,Côteaux,43.585412,1.532788,0,1970324840248128,1
3377699723536438,27321,Côteaux,43.585039,1.532556,0,1970324840248128,1
3377699723536524,15260,Bruyère,43.488795,1.397225,0,1970324839983243,2
3377699723536525,15261,Bruyère,43.488957,1.397290,0,1970324839983243,2
3377699723549777,27401,Pont du Béarnais,43.612376,1.425925,0,1970324839978792,1
3377699723554513,27203,Aéroconstellation,43.663369,1.362847,0,1970324837190628,1
3377699723554811,3910,La Ramée Sud,43.562735,1.340402,0,1970329131942151,1
3377699723554812,3913,La Ramée Sud,43.562727,1.340166,0,1970329131942151,1
3377699723590615,6768,St Cyprien - République,43.598129,1.430433,0,1970324837184772,1
3377699723640911,6501,Ste-Hélène,43.623064,1.458710,0,1970324838479709,1
3377699723641007,6844,Palais de Justice,43.592355,1.444688,0,1970324837184792,1
3377699723671683,3185,Grand Rond,43.596412,1.453980,0,1970324837184947,2
3377699723671688,5994,Récollets Daste,43.583608,1.442697,0,1970324837185348,1
3377699723671689,5995,Récollets Daste,43.583602,1.442572,0,1970324837185348,1
3377699723718321,1847,Croix de Pierre,43.584322,1.427751,0,1970324837185229,1
3377699723726929,22182,F. Mitterrand,43.665419,1.506796,0,1970324840530366,1
3377699723776535,22183,F. Mitterrand,43.665184,1.506974,0,1970324840530366,1
3377699723778772,7540,Pélude,43.570068,1.463889,0,1970324840225490,1
3377699723778773,7541,Pélude,43.570908,1.463501,0,1970324840225490,1
3377699723785421,3422,Herbettes,43.576524,1.470274,0,1970324837185966,1
3377699723785422,3423,Herbettes,43.576590,1.470361,0,1970324837185966,1
